"hydroid"	"bundle"	"ftype"	"hydrocode"	"name"	"fstatus"	"address1"	"address2"	"city"	"state"	"postal_code"	"description"	"uid"	"status"	"module"	"feed_nid"	"dh_link_facility_mps"	"dh_nextdown_id"	"dh_areasqkm"	"dh_link_admin_location"	"field_dh_from_entity"	"field_dh_to_entity"	"dh_geofield"	"geom"
"444796"	"transfer"	"outfall"	"echo_VA0090417001"	"FROM VA0090417"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441962"	""	""	""	""	""	"POINT (-79.137319999602 38.018460000243)"	"POINT (-79.137319999602 38.018460000243)"
"444797"	"transfer"	"outfall"	"echo_VA0090433001"	"FROM VA0090433"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441964"	""	""	""	""	""	"POINT (-76.843611111064 37.572777777503)"	"POINT (-76.843611111064 37.572777777503)"
"444798"	"transfer"	"outfall"	"echo_VA0090468001"	"FROM VA0090468"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441966"	""	""	""	""	""	"POINT (-77.410560999626 38.241944000281)"	"POINT (-77.410560999626 38.241944000281)"
"444799"	"transfer"	"outfall"	"echo_VA0090531001"	"FROM VA0090531"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441968"	""	""	""	""	""	"POINT (-82.20805555511 37.351111111439)"	"POINT (-82.20805555511 37.351111111439)"
"444800"	"transfer"	"outfall"	"echo_VA0090549001"	"FROM VA0090549"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441969"	""	""	""	""	""	"POINT (-80.992222222281 36.937222222322)"	"POINT (-80.992222222281 36.937222222322)"
"444801"	"transfer"	"outfall"	"echo_VA0090590002"	"FROM VA0090590"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441971"	""	""	""	""	""	"POINT (-78.3416666664 39.250000000028)"	"POINT (-78.3416666664 39.250000000028)"
"444802"	"transfer"	"outfall"	"echo_VA0090590003"	"FROM VA0090590"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441971"	""	""	""	""	""	"POINT (-78.3416666664 39.250000000028)"	"POINT (-78.3416666664 39.250000000028)"
"444803"	"transfer"	"outfall"	"echo_VA0090590004"	"FROM VA0090590"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441971"	""	""	""	""	""	"POINT (-78.337499999838 39.250000000028)"	"POINT (-78.337499999838 39.250000000028)"
"444804"	"transfer"	"outfall"	"echo_VA0090590005"	"FROM VA0090590"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441971"	""	""	""	""	""	"POINT (-78.337499999838 39.245833333293)"	"POINT (-78.337499999838 39.245833333293)"
"444805"	"transfer"	"outfall"	"echo_VA0090590006"	"FROM VA0090590"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441971"	""	""	""	""	""	"POINT (-78.333333333276 39.258333332999)"	"POINT (-78.333333333276 39.258333332999)"
"444806"	"transfer"	"outfall"	"echo_VA0090590007"	"FROM VA0090590"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441971"	""	""	""	""	""	"POINT (-78.345833332962 39.254166666845)"	"POINT (-78.345833332962 39.254166666845)"
"444807"	"transfer"	"outfall"	"echo_VA0090620001"	"FROM VA0090620"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441972"	""	""	""	""	""	"POINT (-81.633333333116 37.192777777473)"	"POINT (-81.633333333116 37.192777777473)"
"444808"	"transfer"	"outfall"	"echo_VA0090638001"	"FROM VA0090638"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441973"	""	""	""	""	""	"POINT (-77.240833333201 38.697500000076)"	"POINT (-77.240833333201 38.697500000076)"
"444809"	"transfer"	"outfall"	"echo_VA0090646001"	"FROM VA0090646"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441974"	""	""	""	""	""	"POINT (-80.090833333552 37.813611111187)"	"POINT (-80.090833333552 37.813611111187)"
"444810"	"transfer"	"outfall"	"echo_VA0090654001"	"FROM VA0090654"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441975"	""	""	""	""	""	"POINT (-77.293888888503 38.253333332993)"	"POINT (-77.293888888503 38.253333332993)"
"444811"	"transfer"	"outfall"	"echo_VA0090671001"	"FROM VA0090671"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441976"	""	""	""	""	""	"POINT (-79.783609999559 37.792640000008)"	"POINT (-79.783609999559 37.792640000008)"
"444812"	"transfer"	"outfall"	"echo_VA0090689001"	"FROM VA0090689"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441977"	""	""	""	""	""	"POINT (-77.330740000296 38.066149999932)"	"POINT (-77.330740000296 38.066149999932)"
"444813"	"transfer"	"outfall"	"echo_VA0090719001"	"FROM VA0090719"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441979"	""	""	""	""	""	"POINT (-79.862500000199 37.164439999643)"	"POINT (-79.862500000199 37.164439999643)"
"444814"	"transfer"	"outfall"	"echo_VA0090727001"	"FROM VA0090727"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441980"	""	""	""	""	""	"POINT (-77.778611111139 37.517500000123)"	"POINT (-77.778611111139 37.517500000123)"
