"hydrocode"	"varkey"	"tsvalue"	"tstime"	"tsendtime"	"tscode"
"echo_VA0005291001"	"dmr_mon_mgd"	43.94	"11/01/2016"	"11/30/2016"	1
"echo_VA0005291001"	"dmr_mon_mgd"	47.78	"12/01/2016"	"12/31/2016"	1
"echo_VA0005291001"	"dmr_mon_mgd"	50	"01/01/2017"	"01/31/2017"	1
"echo_VA0005291001"	"dmr_mon_mgd"	52.76	"02/01/2017"	"02/28/2017"	1
"echo_VA0005291001"	"dmr_mon_mgd"	53.72	"03/01/2017"	"03/31/2017"	1
"echo_VA0005291001"	"dmr_mon_mgd"	59.91	"04/01/2017"	"04/30/2017"	1
"echo_VA0005291001"	"dmr_mon_mgd"	65.97	"05/01/2017"	"05/31/2017"	1
"echo_VA0005291001"	"dmr_mon_mgd"	71.66	"06/01/2017"	"06/30/2017"	1
"echo_VA0005291001"	"dmr_mon_mgd"	73.54	"07/01/2017"	"07/31/2017"	1
"echo_VA0005291001"	"dmr_mon_mgd"	74.91	"08/01/2017"	"08/31/2017"	1
"echo_VA0005291001"	"dmr_mon_mgd"	68.96	"09/01/2017"	"09/30/2017"	1
"echo_VA0005291001"	"dmr_mon_mgd"	53.72	"10/01/2017"	"10/31/2017"	1
"echo_VA0005291001"	"dmr_mon_mgd"	60.26	"11/01/2017"	"11/30/2017"	1
"echo_VA0005291001"	"dmr_mon_mgd"	53.7	"12/01/2017"	"12/31/2017"	1
"echo_VA0005291001"	"dmr_mon_mgd"	41.75	"01/01/2018"	"01/31/2018"	1
"echo_VA0005291001"	"dmr_mon_mgd"	52.5	"02/01/2018"	"02/28/2018"	1
"echo_VA0005291001"	"dmr_mon_mgd"	52.36	"03/01/2018"	"03/31/2018"	1
"echo_VA0005291001"	"dmr_mon_mgd"	58.47	"04/01/2018"	"04/30/2018"	1
"echo_VA0005291002"	"dmr_mon_mgd"	34.07	"01/01/2011"	"01/31/2011"	1
"echo_VA0005291002"	"dmr_mon_mgd"	35.29	"02/01/2011"	"02/28/2011"	1
"echo_VA0005291002"	"dmr_mon_mgd"	31.13	"03/01/2011"	"03/31/2011"	1
"echo_VA0005291002"	"dmr_mon_mgd"	34.99	"04/01/2011"	"04/30/2011"	1
"echo_VA0005291002"	"dmr_mon_mgd"	44.42	"05/01/2011"	"05/31/2011"	1
"echo_VA0005291002"	"dmr_mon_mgd"	44.65	"06/01/2011"	"06/30/2011"	1
"echo_VA0005291002"	"dmr_mon_mgd"	44.28	"07/01/2011"	"07/31/2011"	1
"echo_VA0005291002"	"dmr_mon_mgd"	43.56	"08/01/2011"	"08/31/2011"	1
"echo_VA0005291002"	"dmr_mon_mgd"	44.22	"09/01/2011"	"09/30/2011"	1
"echo_VA0005291002"	"dmr_mon_mgd"	40.1	"10/01/2011"	"10/31/2011"	1
"echo_VA0005291002"	"dmr_mon_mgd"	39.89	"11/01/2011"	"11/30/2011"	1
"echo_VA0005291002"	"dmr_mon_mgd"	38	"12/01/2011"	"12/31/2011"	1
"echo_VA0005291002"	"dmr_mon_mgd"	37.98	"01/01/2012"	"01/31/2012"	1
"echo_VA0005291002"	"dmr_mon_mgd"	38.76	"02/01/2012"	"02/29/2012"	1
"echo_VA0005291002"	"dmr_mon_mgd"	42.09	"03/01/2012"	"03/31/2012"	1
"echo_VA0005291002"	"dmr_mon_mgd"	39.13	"04/01/2012"	"04/30/2012"	1
"echo_VA0005291002"	"dmr_mon_mgd"	41.3	"05/01/2012"	"05/31/2012"	1
"echo_VA0005291002"	"dmr_mon_mgd"	42.83	"06/01/2012"	"06/30/2012"	1
"echo_VA0005291002"	"dmr_mon_mgd"	45.11	"07/01/2012"	"07/31/2012"	1
"echo_VA0005291002"	"dmr_mon_mgd"	42.42	"08/01/2012"	"08/31/2012"	1
"echo_VA0005291002"	"dmr_mon_mgd"	40.89	"09/01/2012"	"09/30/2012"	1
"echo_VA0005291002"	"dmr_mon_mgd"	39.68	"10/01/2012"	"10/31/2012"	1
"echo_VA0005291002"	"dmr_mon_mgd"	33.72	"11/01/2012"	"11/30/2012"	1
"echo_VA0005291002"	"dmr_mon_mgd"	20.14	"12/01/2012"	"12/31/2012"	1
"echo_VA0005291002"	"dmr_mon_mgd"	28.6	"01/01/2013"	"01/31/2013"	1
"echo_VA0005291002"	"dmr_mon_mgd"	30.58	"02/01/2013"	"02/28/2013"	1
"echo_VA0005291002"	"dmr_mon_mgd"	26.31	"03/01/2013"	"03/31/2013"	1
"echo_VA0005291002"	"dmr_mon_mgd"	31.71	"04/01/2013"	"04/30/2013"	1
"echo_VA0005291002"	"dmr_mon_mgd"	39.41	"05/01/2013"	"05/31/2013"	1
"echo_VA0005291002"	"dmr_mon_mgd"	45.21	"06/01/2013"	"06/30/2013"	1
"echo_VA0005291002"	"dmr_mon_mgd"	45.45	"07/01/2013"	"07/31/2013"	1
"echo_VA0005291002"	"dmr_mon_mgd"	43.03	"08/01/2013"	"08/31/2013"	1
"echo_VA0005291002"	"dmr_mon_mgd"	42.7	"09/01/2013"	"09/30/2013"	1
