"HydroID","Permit","Facility","Well Name","Date","Value","Parameter","Units","Variable Key","Well Type","Facility Use Type","Well Depth (ft)","Latitude","Longitude","Permit ID","Locality","DEQ Well Number"
"1749","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","NWR-OW-5","08/08/2016","5,678","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","monitoring","municipal","1294.00","36.591333333333","-76.188611111111","GW0043901","","234-00226"
"1798","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","NWR-3","08/08/2016","6,889","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","municipal","1289.00","36.584950000000","-76.203566666667","GW0043901","","234-00222"
"1810","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","MW-2","07/28/2016","2,354","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","monitoring","municipal","880.00","36.777333333333","-76.460472222222","GW0043901","","234-00256"
"1101","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","MW-1","07/28/2016","2,402","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","monitoring","municipal","720.00","36.787083333333","-76.443972222222","GW0043901","","234-00210"
"1773","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","MW-4","07/28/2016","674","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","monitoring","municipal","","36.790166666667","-76.446222222222","GW0043901","","234-00258"
"1102","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","MW-5","07/28/2016","2,255","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","monitoring","municipal","725.00","36.785444444444","-76.450333333333","GW0043901","","234-00209"
"1772","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","MW-3","07/28/2016","705","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","monitoring","municipal","880.00","36.783944444444","-76.459194444444","GW0043901","","234-00257"
"1748","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","NWR-4","06/07/2016","7,275","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","municipal","1299.00","36.579208333333","-76.201580555556","GW0043901","","234-00223"
"1808","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","NWR-1","06/07/2016","6,168","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","municipal","1320.00","36.593097222222","-76.210425000000","GW0043901","","234-00220"
"1798","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","NWR-3","06/07/2016","6,932","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","municipal","1289.00","36.584950000000","-76.203566666667","GW0043901","","234-00222"
