"MP_hydroid","Hydrocode","Source Type","MP Name","Facility_hydroid","Facility","Use Type","Year","Water Use MGY","Water Use (MGD)","Latitude","Longitude","FIPS Code","Locality"
"224905","vwuds_tfr-0187-1481-TW-DL","Transfer","FROM POCAHONTAS (TOWN)","71859","FERNS HARDWARE","commercial","1988","0","0.00","37.305000000000","-81.339722222222","51185",""
"225115","vwuds_tfr-0334-1362-TW-DL","Transfer","FROM HENRICO","73695","GOOCHLAND CT HSE SERVICE AREA","municipal","2008","0","0.00","37.682500000000","-77.885000000000","51075",""
"224939","vwuds_tfr-0202-0320-TW-DL","Transfer","FROM WISE (TOWN)","71751","HURRICANE SERVICE AREA","municipal","1984","0","0.00","37.003611111111","-82.535555555556","51195",""
"225397","vwuds_tfr-0605-0606-TW-SD","Transfer","FROM WTP TO SERVICE AREA","72128","PULASKI (TOWN) SERVICE AREA","municipal","1999","899.973","2.47","37.089444444444","-80.781666666667","51155",""
"224977","vwuds_tfr-0217-0140-TW-DL","Transfer","FROM BRIDGEWATER (TOWN)","74230","BRIDGEWATER PLANT","manufacturing","1982","0","0.00","38.389722222222","-78.969444444444","51165",""
"225959","vwuds_tfr-1884-0423-TW-SD","Transfer","FROM LITTLE CREEK TO LEE HALL","67045","Newport News City of Waterworks Lee Hall","municipal","1999","535.05","1.47","37.168055555556","-76.555000000000","51700",""
"225261","vwuds_tfr-0475-0474-TW-DL","Transfer","FROM US GOV'T-POST CAMP","74224","QUANTICO (TOWN) SERVICE AREA","municipal","1992","0","0.00","38.523611111111","-77.293055555556","51153",""
"224855","vwuds_tfr-0161-0723-TW-DL","Transfer","FROM BRISTOL UTILITIES BD","72683","WASHINGTON COUNTY SERVICE AREA","municipal","2016","0","0.00","36.693333333333","-81.893611111111","51191",""
"225219","vwuds_tfr-0427-2081-TW-DL","Transfer","FROM WILLIAMSBURG","73761","WICKRE ST. MAGRUDER HGTS METER","municipal","2006","0","0.00","-99.000000000000","-99.000000000000","51095",""
"225926","vwuds_tfr-1756-10025-TW-DL","Transfer","FR MILLBORO WATER ASSOCIATION","72996","MILLBORO SERVICE AREA","municipal","2019","2.228","0.01","99.000000000000","-99.000000000000","51017",""
"224931","vwuds_tfr-0195-0575-TW-SD","Transfer","FROM SCOTT CO SERV AREA","72288","DUFFIELD-PATTONSVILLE SER AREA","municipal","2003","0","0.00","36.705000000000","-82.823055555556","51169",""
"225419","vwuds_tfr-0622-0623-TW-DL","Transfer","FROM CLIFTON FORGE","73763","WILSON SERVICE AREA","municipal","1985","0","0.00","37.823055555556","-79.796666666667","51005",""
"225035","vwuds_tfr-0282-0288-TW-DL","Transfer","FROM FAIRFAX CO WA","74448","GMSD SERVICE AREA","municipal","1990","0","0.00","38.784166666667","-77.481111111111","51153",""
"225499","vwuds_tfr-0684-0426-TW-SD","Transfer","FROM WTP TO SERVICE AREA","66884","Northwest River/Western Branch Systems","municipal","2011","1368.29","3.75","36.733333333333","-76.240000000000","51550",""
"226011","vwuds_tfr-371312076274802-0002-SW-DL","Transfer","NEWPORT NEWS WATERWORKS","72566","YORKTOWN FOSSIL POWER PLANT","fossilpower","2012","0","0.00","37.219444444444","-76.461666666667","51199",""
"224953","vwuds_tfr-0207-1983-TW-DL","Transfer","FROM STAUNTON","72869","WEST OF STAUNTON","municipal","1999","0","0.00","-99.000000000000","-99.000000000000","51015",""
"224887","vwuds_tfr-0177-1779-TW-DL","Transfer","FROM HILLSVILLE (TOWN)","71735","INDUSTRIAL PARK","municipal","1993","12.423","0.03","-99.000000000000","-99.000000000000","51035",""
"225345","vwuds_tfr-0552-0168-TW-DL","Transfer","FROM JOHN FLANNAGAN WATER AUTH","71897","CLINTWOOD SERVICE AREA","municipal","1994","107.084","0.29","37.098611111111","-82.460555555556","51051",""
"225591","vwuds_tfr-0736-0763-TW-DL","Transfer","FROM SALEM (CITY)","72740","SALEM PLANT","manufacturing","1995","0","0.00","37.278333333333","-80.055000000000","51775",""
"225359","vwuds_tfr-0559-0185-TW-SD","Transfer","FROM WTP TO SERVICE AREA","71778","NORTON SERVICE AREA","municipal","1999","337.6","0.92","36.933333333333","-82.630555555556","51720",""
"225669","vwuds_tfr-0796-0797-TW-SD","Transfer","FROM WTP TO SERVICE AREA","74464","STUART WTP","municipal","2007","0","0.00","36.640277777778","-80.271944444444","51141",""
"225325","vwuds_tfr-0538-1196-TW-DL","Transfer","FROM YORK COUNTY","73798","NELSON PARK SERVICE AREA","municipal","1999","0","0.00","37.266666666667","-76.668333333333","51199",""
"225369","vwuds_tfr-0565-0723-TW-SD","Transfer","FROM WTP TO SERVICE AREA","72683","WASHINGTON COUNTY SERVICE AREA","municipal","1998","512","1.40","36.693333333333","-81.893611111111","51191",""
"225721","vwuds_tfr-0912-1000-TW-SD","Transfer","FROM WTP TO PLANT","73332","MARTINSVILLE PLANT","manufacturing","1983","13437.5","36.82","36.663055555556","-79.893611111111","51089",""
"224833","vwuds_tfr-0092-0267-TW-SD","Transfer","FROM WTP TO SERVICE AREA","71849","WINCHESTER SERVICE AREA","municipal","1989","2090.76","5.73","39.184166666667","-78.164444444444","51840",""
"225263","vwuds_tfr-0477-0298-TW-SD","Transfer","FROM WTP TO SERVICE AREA","73347","MADISON (TOWN) SERVICE AREA","municipal","2012","0","0.00","38.381944444444","-78.256388888889","51113",""
"224977","vwuds_tfr-0217-0140-TW-DL","Transfer","FROM BRIDGEWATER (TOWN)","74230","BRIDGEWATER PLANT","manufacturing","1986","0","0.00","38.389722222222","-78.969444444444","51165",""
"225333","vwuds_tfr-0544-0159-TW-SD","Transfer","FROM WTP TO SERVICE AREA","72201","BIG STONE GAP SERVICE AREA","municipal","1992","0","0.00","36.866666666667","-82.773611111111","51195",""
"225509","vwuds_tfr-0701-0360-TW-DL","Transfer","FROM CITY TO URBAN SYS","66898","Hanover Urban Water System","municipal","2014","0","0.00","37.604166666667","-77.372777777778","51085",""
"225035","vwuds_tfr-0282-0288-TW-DL","Transfer","FROM FAIRFAX CO WA","74448","GMSD SERVICE AREA","municipal","2006","2450.795","6.71","38.784166666667","-77.481111111111","51153",""
"225241","vwuds_tfr-0469-0276-TW-DL","Transfer","FROM FALLS CHURCH (CITY)","73499","VIENNA SERVICE AREA","municipal","1997","593.2","1.63","38.901111111111","-77.264722222222","51059",""
"224809","vwuds_tfr-0060-0116-TW-DL","Transfer","FROM WAYNESBORO (CITY)","73133","WAYNESBORO PLANT","manufacturing","2006","0","0.00","38.059722222222","-78.893611111111","51820",""
"224845","vwuds_tfr-0106-0810-TW-DL","Transfer","FROM AVTEX FIBERS INC","72748","FRONT ROYAL PLANT","manufacturing","1984","0","0.00","38.933333333333","-78.215000000000","51187",""
"224885","vwuds_tfr-0176-1751-TW-DL","Transfer","FROM GRUNDY (TOWN)","71666","SLATE CREEK SERVICE AREA","municipal","2008","0","0.00","37.285555555556","-82.070555555556","51027",""
"225699","vwuds_tfr-0818-0211-TW-SD","Transfer","FROM OBSERVATRY WTP TO SERV AR","74132","CHARLOTTESVILLE & ALBEMARLE SERVICE AREA","municipal","2002","0","0.00","38.033333333333","-78.475000000000","51540",""
