"hydrocode"	"varkey"	"entity_type"	"propname"	"propcode"	"startdate"	"enddate"	"proptext"
"echo_VA0028291001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"09/01/2016"	"09/30/2016"	"DMR Overdue, with a numeric limit"
"echo_VA0030121001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"07/01/2016"	"07/31/2016"	"Effluent Violation"
"echo_VA0031011001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"02/01/2016"	"02/29/2016"	"Effluent Violation"
"echo_VA0052906002"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"04/01/2018"	"04/30/2018"	"DMR Overdue, monitoring only required"
"echo_VA0059072001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"03/01/2018"	"03/31/2018"	"DMR Overdue, monitoring only required"
"echo_VA0059072001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"04/01/2018"	"04/30/2018"	"DMR Overdue, monitoring only required"
"echo_VA0060348001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"04/01/2016"	"04/30/2016"	"Effluent Violation"
"echo_VA0060569001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"09/01/2017"	"09/30/2017"	"DMR Overdue, with a numeric limit"
"echo_VA0060569001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"07/01/2017"	"07/31/2017"	"DMR Overdue, with a numeric limit"
"echo_VA0060569001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"10/01/2017"	"10/31/2017"	"DMR Overdue, with a numeric limit"
"echo_VA0060569001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"11/01/2015"	"11/30/2015"	"DMR Overdue, with a numeric limit"
"echo_VA0060569001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"11/01/2017"	"11/30/2017"	"DMR Overdue, with a numeric limit"
"echo_VA0060569001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"08/01/2017"	"08/31/2017"	"DMR Overdue, with a numeric limit"
"echo_VA0060569001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"04/01/2016"	"04/30/2016"	"DMR Overdue, with a numeric limit"
"echo_VA0060798001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"07/01/2017"	"07/31/2017"	"DMR Overdue, with a numeric limit"
"echo_VA0061042001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"07/01/2016"	"07/31/2016"	"DMR Overdue, with a numeric limit"
"echo_VA0062154001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"02/01/2016"	"02/29/2016"	"Effluent Violation"
"echo_VA0062529001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"01/01/2017"	"12/31/2017"	"DMR Overdue, with a numeric limit"
"echo_VA0062529001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"01/01/2016"	"12/31/2016"	"DMR Overdue, with a numeric limit"
"echo_VA0062642001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"05/01/2014"	"05/31/2014"	"Effluent Violation"
"echo_VA0062642001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"03/01/2013"	"03/31/2013"	"Effluent Violation"
"echo_VA0062642001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"04/01/2014"	"04/30/2014"	"Effluent Violation"
"echo_VA0062642001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"03/01/2014"	"03/31/2014"	"Effluent Violation"
"echo_VA0062642001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"02/01/2014"	"02/28/2014"	"Effluent Violation"
"echo_VA0062642001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"05/01/2013"	"05/31/2013"	"Effluent Violation"
"echo_VA0062642001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"12/01/2013"	"12/31/2013"	"Effluent Violation"
"echo_VA0062642001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"01/01/2014"	"01/31/2014"	"Effluent Violation"
"echo_VA0063037001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"04/01/2016"	"04/30/2016"	"Effluent Violation"
"echo_VA0063037001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"05/01/2018"	"05/31/2018"	"DMR Overdue, with a numeric limit"
"echo_VA0063037001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"10/01/2015"	"10/31/2015"	"DMR Overdue, monitoring only required"
"echo_VA0063606001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"09/01/2016"	"09/30/2016"	"DMR Overdue, with a numeric limit"
"echo_VA0063673001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"07/01/2016"	"07/31/2016"	"DMR Overdue, with a numeric limit"
"echo_VA0064726001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"10/01/2016"	"10/31/2016"	"DMR Overdue, with a numeric limit"
"echo_VA0065358001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"03/01/2015"	"03/31/2015"	"DMR Overdue, monitoring only required"
"echo_VA0065358001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"08/01/2015"	"08/31/2015"	"DMR Overdue, monitoring only required"
