"hydocode","bundle","ftype","name","from_node","to_node"
"VA0004090:VA0004090110","coneyance","water_transfer","From VA0004090 to VA0004090110","VA0004090:VA0004090110","VA0004090110"
"VA0004090:VA0004090111","coneyance","water_transfer","From VA0004090 to VA0004090111","VA0004090:VA0004090111","VA0004090111"
"VA0004090:VA0004090112","coneyance","water_transfer","From VA0004090 to VA0004090112","VA0004090:VA0004090112","VA0004090112"
"VA0004090:VA0004090113","coneyance","water_transfer","From VA0004090 to VA0004090113","VA0004090:VA0004090113","VA0004090113"
"VA0004090:VA0004090114","coneyance","water_transfer","From VA0004090 to VA0004090114","VA0004090:VA0004090114","VA0004090114"
"VA0004090:VA0004090115","coneyance","water_transfer","From VA0004090 to VA0004090115","VA0004090:VA0004090115","VA0004090115"
"VA0004090:VA0004090116","coneyance","water_transfer","From VA0004090 to VA0004090116","VA0004090:VA0004090116","VA0004090116"
"VA0004090:VA0004090117","coneyance","water_transfer","From VA0004090 to VA0004090117","VA0004090:VA0004090117","VA0004090117"
"VA0004090:VA0004090118","coneyance","water_transfer","From VA0004090 to VA0004090118","VA0004090:VA0004090118","VA0004090118"
"VA0004090:VA0004090119","coneyance","water_transfer","From VA0004090 to VA0004090119","VA0004090:VA0004090119","VA0004090119"
"VA0004090:VA0004090120","coneyance","water_transfer","From VA0004090 to VA0004090120","VA0004090:VA0004090120","VA0004090120"
"VA0004090:VA0004090121","coneyance","water_transfer","From VA0004090 to VA0004090121","VA0004090:VA0004090121","VA0004090121"
"VA0004090:VA0004090122","coneyance","water_transfer","From VA0004090 to VA0004090122","VA0004090:VA0004090122","VA0004090122"
"VA0004103:VA0004103001","coneyance","water_transfer","From VA0004103 to VA0004103001","VA0004103:VA0004103001","VA0004103001"
"VA0004103:VA0004103002","coneyance","water_transfer","From VA0004103 to VA0004103002","VA0004103:VA0004103002","VA0004103002"
"VA0004103:VA0004103003","coneyance","water_transfer","From VA0004103 to VA0004103003","VA0004103:VA0004103003","VA0004103003"
"VA0004103:VA0004103004","coneyance","water_transfer","From VA0004103 to VA0004103004","VA0004103:VA0004103004","VA0004103004"
"VA0004103:VA0004103101","coneyance","water_transfer","From VA0004103 to VA0004103101","VA0004103:VA0004103101","VA0004103101"
"VA0004103:VA0004103102","coneyance","water_transfer","From VA0004103 to VA0004103102","VA0004103:VA0004103102","VA0004103102"
"VA0004103:VA0004103103","coneyance","water_transfer","From VA0004103 to VA0004103103","VA0004103:VA0004103103","VA0004103103"
"VA0004103:VA0004103104","coneyance","water_transfer","From VA0004103 to VA0004103104","VA0004103:VA0004103104","VA0004103104"
"VA0004138:VA0004138001","coneyance","water_transfer","From VA0004138 to VA0004138001","VA0004138:VA0004138001","VA0004138001"
"VA0004138:VA0004138002","coneyance","water_transfer","From VA0004138 to VA0004138002","VA0004138:VA0004138002","VA0004138002"
"VA0004138:VA0004138004","coneyance","water_transfer","From VA0004138 to VA0004138004","VA0004138:VA0004138004","VA0004138004"
"VA0004138:VA0004138202","coneyance","water_transfer","From VA0004138 to VA0004138202","VA0004138:VA0004138202","VA0004138202"
"VA0004138:VA0004138203","coneyance","water_transfer","From VA0004138 to VA0004138203","VA0004138:VA0004138203","VA0004138203"
"VA0004138:VA0004138501","coneyance","water_transfer","From VA0004138 to VA0004138501","VA0004138:VA0004138501","VA0004138501"
"VA0004138:VA0004138502","coneyance","water_transfer","From VA0004138 to VA0004138502","VA0004138:VA0004138502","VA0004138502"
"VA0004138:VA0004138503","coneyance","water_transfer","From VA0004138 to VA0004138503","VA0004138:VA0004138503","VA0004138503"
"VA0004138:VA0004138504","coneyance","water_transfer","From VA0004138 to VA0004138504","VA0004138:VA0004138504","VA0004138504"
"VA0004138:VA0004138505","coneyance","water_transfer","From VA0004138 to VA0004138505","VA0004138:VA0004138505","VA0004138505"
"VA0004138:VA0004138999","coneyance","water_transfer","From VA0004138 to VA0004138999","VA0004138:VA0004138999","VA0004138999"
"VA0004146:VA0004146001","coneyance","water_transfer","From VA0004146 to VA0004146001","VA0004146:VA0004146001","VA0004146001"
"VA0004146:VA0004146002","coneyance","water_transfer","From VA0004146 to VA0004146002","VA0004146:VA0004146002","VA0004146002"
"VA0004146:VA0004146003","coneyance","water_transfer","From VA0004146 to VA0004146003","VA0004146:VA0004146003","VA0004146003"
"VA0004146:VA0004146004","coneyance","water_transfer","From VA0004146 to VA0004146004","VA0004146:VA0004146004","VA0004146004"
"VA0004146:VA0004146005","coneyance","water_transfer","From VA0004146 to VA0004146005","VA0004146:VA0004146005","VA0004146005"
"VA0004146:VA0004146006","coneyance","water_transfer","From VA0004146 to VA0004146006","VA0004146:VA0004146006","VA0004146006"
"VA0004146:VA0004146007","coneyance","water_transfer","From VA0004146 to VA0004146007","VA0004146:VA0004146007","VA0004146007"
"VA0004146:VA0004146008","coneyance","water_transfer","From VA0004146 to VA0004146008","VA0004146:VA0004146008","VA0004146008"
"VA0004146:VA0004146009","coneyance","water_transfer","From VA0004146 to VA0004146009","VA0004146:VA0004146009","VA0004146009"
"VA0004146:VA0004146010","coneyance","water_transfer","From VA0004146 to VA0004146010","VA0004146:VA0004146010","VA0004146010"
"VA0004146:VA0004146011","coneyance","water_transfer","From VA0004146 to VA0004146011","VA0004146:VA0004146011","VA0004146011"
"VA0004146:VA0004146104","coneyance","water_transfer","From VA0004146 to VA0004146104","VA0004146:VA0004146104","VA0004146104"
"VA0004146:VA0004146401","coneyance","water_transfer","From VA0004146 to VA0004146401","VA0004146:VA0004146401","VA0004146401"
"VA0004146:VA0004146402","coneyance","water_transfer","From VA0004146 to VA0004146402","VA0004146:VA0004146402","VA0004146402"
"VA0004162:VA0004162001","coneyance","water_transfer","From VA0004162 to VA0004162001","VA0004162:VA0004162001","VA0004162001"
"VA0004162:VA0004162103","coneyance","water_transfer","From VA0004162 to VA0004162103","VA0004162:VA0004162103","VA0004162103"
"VA0004383:VA0004383012","coneyance","water_transfer","From VA0004383 to VA0004383012","VA0004383:VA0004383012","VA0004383012"
"VA0004383:VA0004383013","coneyance","water_transfer","From VA0004383 to VA0004383013","VA0004383:VA0004383013","VA0004383013"
"VA0004421:VA0004421001","coneyance","water_transfer","From VA0004421 to VA0004421001","VA0004421:VA0004421001","VA0004421001"
"VA0004421:VA0004421199","coneyance","water_transfer","From VA0004421 to VA0004421199","VA0004421:VA0004421199","VA0004421199"
"VA0004421:VA0004421401","coneyance","water_transfer","From VA0004421 to VA0004421401","VA0004421:VA0004421401","VA0004421401"
"VA0004421:VA0004421404","coneyance","water_transfer","From VA0004421 to VA0004421404","VA0004421:VA0004421404","VA0004421404"
"VA0004448:VA0004448009","coneyance","water_transfer","From VA0004448 to VA0004448009","VA0004448:VA0004448009","VA0004448009"
"VA0004642:VA0004642001","coneyance","water_transfer","From VA0004642 to VA0004642001","VA0004642:VA0004642001","VA0004642001"
"VA0004642:VA0004642002","coneyance","water_transfer","From VA0004642 to VA0004642002","VA0004642:VA0004642002","VA0004642002"
"VA0004642:VA0004642012","coneyance","water_transfer","From VA0004642 to VA0004642012","VA0004642:VA0004642012","VA0004642012"
"VA0004669:VA0004669001","coneyance","water_transfer","From VA0004669 to VA0004669001","VA0004669:VA0004669001","VA0004669001"
