"bundle","name","ftype","hydocode","fstatus","wkt_geom","dh_link_facility_mps"
"transfer","TO VA0002585001","release","vahydro_VA0002585001","active","POINT (38.693388 -77.256377)","echo_VA0002585"
"transfer","TO VA0002585002","release","vahydro_VA0002585002","inactive","POINT (38.693388 -77.256377)","echo_VA0002585"
"transfer","TO VA0002585003","release","vahydro_VA0002585003","inactive","POINT (38.693388 -77.256377)","echo_VA0002585"
"transfer","TO VA0002585004","release","vahydro_VA0002585004","inactive","POINT (38.693388 -77.256377)","echo_VA0002585"
"transfer","TO VA0002585005","release","vahydro_VA0002585005","inactive","POINT (38.693388 -77.256377)","echo_VA0002585"
"transfer","TO VA0002585006","release","vahydro_VA0002585006","inactive","POINT (38.693388 -77.256377)","echo_VA0002585"
"transfer","TO VA0002585007","release","vahydro_VA0002585007","active","POINT (38.693388 -77.256377)","echo_VA0002585"
"transfer","TO VA0002585008","release","vahydro_VA0002585008","active","POINT (38.693388 -77.256377)","echo_VA0002585"
"transfer","TO VA0002585009","release","vahydro_VA0002585009","active","POINT (38.693388 -77.256377)","echo_VA0002585"
"transfer","TO VA0002674001","release","vahydro_VA0002674001","active","POINT (38.45868 -78.9113)","echo_VA0002674"
"transfer","TO VA0002771001","release","vahydro_VA0002771001","active","POINT (37.725026 -79.360539)","echo_VA0002771"
"transfer","TO VA0002780001","release","vahydro_VA0002780001","active","POINT (37.35376 -77.31651)","echo_VA0002780"
"transfer","TO VA0003018002","release","vahydro_VA0003018002","inactive","POINT (37.21022 -76.45366)","echo_VA0003018"
"transfer","TO VA0003018004","release","vahydro_VA0003018004","inactive","POINT (37.21022 -76.45366)","echo_VA0003018"
"transfer","TO VA0003018005","release","vahydro_VA0003018005","inactive","POINT (37.21022 -76.45366)","echo_VA0003018"
"transfer","TO VA0003026002","release","vahydro_VA0003026002","active","POINT (37.532832 -79.355595)","echo_VA0003026"
"transfer","TO VA0003026003","release","vahydro_VA0003026003","active","POINT (37.532832 -79.355595)","echo_VA0003026"
"transfer","TO VA0003026005","release","vahydro_VA0003026005","inactive","POINT (37.532832 -79.355595)","echo_VA0003026"
"transfer","TO VA0003026012","release","vahydro_VA0003026012","inactive","POINT (37.532832 -79.355595)","echo_VA0003026"
"transfer","TO VA0003026014","release","vahydro_VA0003026014","inactive","POINT (37.532832 -79.355595)","echo_VA0003026"
"transfer","TO VA0003026015","release","vahydro_VA0003026015","inactive","POINT (37.532832 -79.355595)","echo_VA0003026"
"transfer","TO VA0003026017","release","vahydro_VA0003026017","inactive","POINT (37.532832 -79.355595)","echo_VA0003026"
"transfer","TO VA0003026018","release","vahydro_VA0003026018","inactive","POINT (37.532832 -79.355595)","echo_VA0003026"
"transfer","TO VA0003026021","release","vahydro_VA0003026021","inactive","POINT (37.532832 -79.355595)","echo_VA0003026"
"transfer","TO VA0003026022","release","vahydro_VA0003026022","inactive","POINT (37.532832 -79.355595)","echo_VA0003026"
"transfer","TO VA0003026023","release","vahydro_VA0003026023","inactive","POINT (37.532832 -79.355595)","echo_VA0003026"
"transfer","TO VA0003026025","release","vahydro_VA0003026025","inactive","POINT (37.532832 -79.355595)","echo_VA0003026"
"transfer","TO VA0003026028","release","vahydro_VA0003026028","inactive","POINT (37.532832 -79.355595)","echo_VA0003026"
"transfer","TO VA0003026301","release","vahydro_VA0003026301","active","POINT (37.532832 -79.355595)","echo_VA0003026"
"transfer","TO VA0003026555","release","vahydro_VA0003026555","inactive","POINT (37.532832 -79.355595)","echo_VA0003026"
"transfer","TO VA0003026999","release","vahydro_VA0003026999","inactive","POINT (37.532832 -79.355595)","echo_VA0003026"
"transfer","TO VA0003077001","release","vahydro_VA0003077001","active","POINT (37.350627 -77.291096)","echo_VA0003077"
"transfer","TO VA0003077002","release","vahydro_VA0003077002","active","POINT (37.350627 -77.291096)","echo_VA0003077"
"transfer","TO VA0003077003","release","vahydro_VA0003077003","active","POINT (37.350627 -77.291096)","echo_VA0003077"
"transfer","TO VA0003077004","release","vahydro_VA0003077004","inactive","POINT (37.350627 -77.291096)","echo_VA0003077"
"transfer","TO VA0003077101","release","vahydro_VA0003077101","active","POINT (37.350627 -77.291096)","echo_VA0003077"
"transfer","TO VA0003077102","release","vahydro_VA0003077102","active","POINT (37.350627 -77.291096)","echo_VA0003077"
"transfer","TO VA0003077901","release","vahydro_VA0003077901","inactive","POINT (37.350627 -77.291096)","echo_VA0003077"
"transfer","TO VA0003115001","release","vahydro_VA0003115001","active","POINT (37.5392 -76.8053)","echo_VA0003115"
"transfer","TO VA0003115002","release","vahydro_VA0003115002","inactive","POINT (37.5392 -76.8053)","echo_VA0003115"
"transfer","TO VA0003115003","release","vahydro_VA0003115003","inactive","POINT (37.5392 -76.8053)","echo_VA0003115"
"transfer","TO VA0003115004","release","vahydro_VA0003115004","inactive","POINT (37.5392 -76.8053)","echo_VA0003115"
"transfer","TO VA0003115007","release","vahydro_VA0003115007","inactive","POINT (37.5392 -76.8053)","echo_VA0003115"
"transfer","TO VA0003115008","release","vahydro_VA0003115008","inactive","POINT (37.5392 -76.8053)","echo_VA0003115"
"transfer","TO VA0003115101","release","vahydro_VA0003115101","active","POINT (37.5392 -76.8053)","echo_VA0003115"
"transfer","TO VA0003409001","release","vahydro_VA0003409001","inactive","POINT (36.8743 -76.30788)","echo_VA0003409"
"transfer","TO VA0003409002","release","vahydro_VA0003409002","inactive","POINT (36.8743 -76.30788)","echo_VA0003409"
"transfer","TO VA0003409003","release","vahydro_VA0003409003","inactive","POINT (36.8743 -76.30788)","echo_VA0003409"
"transfer","TO VA0003409004","release","vahydro_VA0003409004","inactive","POINT (36.8743 -76.30788)","echo_VA0003409"
"transfer","TO VA0003409005","release","vahydro_VA0003409005","active","POINT (36.8743 -76.30788)","echo_VA0003409"
"transfer","TO VA0003409006","release","vahydro_VA0003409006","active","POINT (36.8743 -76.30788)","echo_VA0003409"
"transfer","TO VA0003409015","release","vahydro_VA0003409015","inactive","POINT (36.8743 -76.30788)","echo_VA0003409"
"transfer","TO VA0003409017","release","vahydro_VA0003409017","inactive","POINT (36.8743 -76.30788)","echo_VA0003409"
"transfer","TO VA0003409018","release","vahydro_VA0003409018","inactive","POINT (36.8743 -76.30788)","echo_VA0003409"
"transfer","TO VA0003409019","release","vahydro_VA0003409019","inactive","POINT (36.8743 -76.30788)","echo_VA0003409"
"transfer","TO VA0003409020","release","vahydro_VA0003409020","inactive","POINT (36.8743 -76.30788)","echo_VA0003409"
"transfer","TO VA0003409021","release","vahydro_VA0003409021","inactive","POINT (36.8743 -76.30788)","echo_VA0003409"
"transfer","TO VA0003409022","release","vahydro_VA0003409022","inactive","POINT (36.8743 -76.30788)","echo_VA0003409"
"transfer","TO VA0003433002","release","vahydro_VA0003433002","active","POINT (36.6512 -76.999045)","echo_VA0003433"
"transfer","TO VA0003433003","release","vahydro_VA0003433003","inactive","POINT (36.6512 -76.999045)","echo_VA0003433"
"transfer","TO VA0003433004","release","vahydro_VA0003433004","inactive","POINT (36.6512 -76.999045)","echo_VA0003433"
"transfer","TO VA0003433005","release","vahydro_VA0003433005","inactive","POINT (36.6512 -76.999045)","echo_VA0003433"
"transfer","TO VA0003433006","release","vahydro_VA0003433006","inactive","POINT (36.6512 -76.999045)","echo_VA0003433"
"transfer","TO VA0003433201","release","vahydro_VA0003433201","active","POINT (36.6512 -76.999045)","echo_VA0003433"
"transfer","TO VA0003433902","release","vahydro_VA0003433902","inactive","POINT (36.6512 -76.999045)","echo_VA0003433"
"transfer","TO VA0003492005","release","vahydro_VA0003492005","active","POINT (37.291375 -77.281044)","echo_VA0003492"
"transfer","TO VA0003492006","release","vahydro_VA0003492006","active","POINT (37.291375 -77.281044)","echo_VA0003492"
"transfer","TO VA0003492013","release","vahydro_VA0003492013","inactive","POINT (37.291375 -77.281044)","echo_VA0003492"
"transfer","TO VA0003646003","release","vahydro_VA0003646003","active","POINT (37.796355 -79.992817)","echo_VA0003646"
"transfer","TO VA0003646004","release","vahydro_VA0003646004","inactive","POINT (37.796355 -79.992817)","echo_VA0003646"
"transfer","TO VA0003646009","release","vahydro_VA0003646009","inactive","POINT (37.796355 -79.992817)","echo_VA0003646"
"transfer","TO VA0003646010","release","vahydro_VA0003646010","inactive","POINT (37.796355 -79.992817)","echo_VA0003646"
"transfer","TO VA0003646012","release","vahydro_VA0003646012","inactive","POINT (37.796355 -79.992817)","echo_VA0003646"
"transfer","TO VA0003646013","release","vahydro_VA0003646013","inactive","POINT (37.796355 -79.992817)","echo_VA0003646"
"transfer","TO VA0003646015","release","vahydro_VA0003646015","inactive","POINT (37.796355 -79.992817)","echo_VA0003646"
"transfer","TO VA0003646301","release","vahydro_VA0003646301","inactive","POINT (37.796355 -79.992817)","echo_VA0003646"
"transfer","TO VA0003646302","release","vahydro_VA0003646302","inactive","POINT (37.796355 -79.992817)","echo_VA0003646"
"transfer","TO VA0003646303","release","vahydro_VA0003646303","inactive","POINT (37.796355 -79.992817)","echo_VA0003646"
"transfer","TO VA0003646903","release","vahydro_VA0003646903","inactive","POINT (37.796355 -79.992817)","echo_VA0003646"
"transfer","TO VA0003654001","release","vahydro_VA0003654001","inactive","POINT (37.191687 -76.617362)","echo_VA0003654"
"transfer","TO VA0003654008","release","vahydro_VA0003654008","inactive","POINT (37.191687 -76.617362)","echo_VA0003654"
"transfer","TO VA0003654013","release","vahydro_VA0003654013","inactive","POINT (37.191687 -76.617362)","echo_VA0003654"
"transfer","TO VA0003697001","release","vahydro_VA0003697001","active","POINT (37.414554 -79.062335)","echo_VA0003697"
"transfer","TO VA0003697002","release","vahydro_VA0003697002","active","POINT (37.414554 -79.062335)","echo_VA0003697"
"transfer","TO VA0003697003","release","vahydro_VA0003697003","active","POINT (37.414554 -79.062335)","echo_VA0003697"
"transfer","TO VA0003697004","release","vahydro_VA0003697004","inactive","POINT (37.414554 -79.062335)","echo_VA0003697"
"transfer","TO VA0003697005","release","vahydro_VA0003697005","inactive","POINT (37.414554 -79.062335)","echo_VA0003697"
"transfer","TO VA0003697006","release","vahydro_VA0003697006","inactive","POINT (37.414554 -79.062335)","echo_VA0003697"
"transfer","TO VA0003697007","release","vahydro_VA0003697007","inactive","POINT (37.414554 -79.062335)","echo_VA0003697"
"transfer","TO VA0003697008","release","vahydro_VA0003697008","inactive","POINT (37.414554 -79.062335)","echo_VA0003697"
"transfer","TO VA0003697009","release","vahydro_VA0003697009","inactive","POINT (37.414554 -79.062335)","echo_VA0003697"
"transfer","TO VA0003697010","release","vahydro_VA0003697010","inactive","POINT (37.414554 -79.062335)","echo_VA0003697"
"transfer","TO VA0003697011","release","vahydro_VA0003697011","inactive","POINT (37.414554 -79.062335)","echo_VA0003697"
"transfer","TO VA0003697101","release","vahydro_VA0003697101","active","POINT (37.414554 -79.062335)","echo_VA0003697"
"transfer","TO VA0003697601","release","vahydro_VA0003697601","active","POINT (37.414554 -79.062335)","echo_VA0003697"
"transfer","TO VA0003697701","release","vahydro_VA0003697701","active","POINT (37.414554 -79.062335)","echo_VA0003697"
"transfer","TO VA0003808001","release","vahydro_VA0003808001","active","POINT (37.736111 -75.656111)","echo_VA0003808"
